Date,Description,Amount
2025-07-01,Big Bazaar groceries,2345.75
2025-07-02,Uber ride to office,320.5
2025-07-03,Amazon India purchase,1599
2025-07-03,Electricity bill BESCOM,1150
2025-07-04,Domino's pizza,499
2025-07-05,Rent payment to landlord,18000
2025-07-06,Swiggy dinner,625
2025-07-07,Gas refill Indane,1120
2025-07-08,Zomato lunch,385
2025-07-09,Metro recharge card,500
2025-07-10,Spotify subscription,119
2025-07-10,Mobile recharge Airtel,399
2025-07-11,Flipkart fashion sale,2249
2025-07-11,KFC dinner,765
2025-07-12,Petrol Indian Oil,2200
2025-07-12,Internet bill JioFiber,999
2025-07-13,LIC life insurance premium,4520
2025-07-14,Bus ticket to Mysore,480
2025-07-15,D-Mart groceries,1480
2025-07-15,Cinema PVR movie,450
2025-07-16,Doctor consultation,850
2025-07-16,Pharmacy medicine Apollo,780
2025-07-17,Axis Bank credit card payment,8500
2025-07-18,Tuition fees for child,12000
2025-07-18,Bookstore purchase,690
2025-07-19,OLA outstation trip,2600
2025-07-20,SBI RD monthly deposit,5000
2025-07-21,SBI mutual fund SIP,3000
2025-07-22,Recharge Tata Sky DTH,450
2025-07-23,Municipal water bill,630
2025-07-23,ATM cash withdrawal,4000
2025-07-24,Club Mahindra holiday membership EMI,2850
2025-07-25,BBMP property tax,8650
2025-07-25,Maid salary,6000
2025-07-26,Patanjali store purchase,720
2025-07-27,Home cleaning service UrbanClap,1200
2025-07-28,Decathlon fitness gear,3250
2025-07-28,Cafe Coffee Day outing,360
2025-07-29,Paytm wallet topup,2000
2025-07-30,IRCTC train tickets,1830
2025-07-31,Vegetable market cash,950
